Date,GPPavg,ER,K600_1d,GPP_Rhat,ER_Rhat,K600_daily_Rhat
2022-05-12,1.5814075279883866,-6.408398711234743,1.1327128347908335,1.0000130934016334,1.0005235102190915,1.0013708841606075
2022-05-13,1.1135733441222633,-5.912847632582436,1.1348470459182947,0.999740995913075,1.0001053102962532,0.9999731587785945
2022-05-14,NA,NA,NA,NA,NA,NA
2022-05-15,NA,NA,NA,NA,NA,NA
2022-05-16,NA,NA,NA,NA,NA,NA
2022-05-17,NA,NA,NA,NA,NA,NA
2022-05-18,NA,NA,NA,NA,NA,NA
2022-05-19,NA,NA,NA,NA,NA,NA
2022-05-20,NA,NA,NA,NA,NA,NA
2022-05-21,NA,NA,NA,NA,NA,NA
2022-05-22,NA,NA,NA,NA,NA,NA
2022-05-23,NA,NA,NA,NA,NA,NA
2022-05-24,NA,NA,NA,NA,NA,NA
2022-05-25,NA,NA,NA,NA,NA,NA
2022-05-26,NA,NA,NA,NA,NA,NA
2022-05-27,NA,NA,NA,NA,NA,NA
2022-05-28,NA,NA,NA,NA,NA,NA
2022-05-29,NA,NA,NA,NA,NA,NA
2022-05-30,NA,NA,NA,NA,NA,NA
2022-05-31,NA,NA,NA,NA,NA,NA
2022-06-01,NA,NA,NA,NA,NA,NA
2022-06-02,NA,NA,NA,NA,NA,NA
2022-06-03,NA,NA,NA,NA,NA,NA
2022-06-04,NA,NA,NA,NA,NA,NA
2022-06-05,NA,NA,NA,NA,NA,NA
2022-06-06,NA,NA,NA,NA,NA,NA
2022-06-07,NA,NA,NA,NA,NA,NA
2022-06-08,NA,NA,NA,NA,NA,NA
2022-06-09,NA,NA,NA,NA,NA,NA
2022-06-10,NA,NA,NA,NA,NA,NA
2022-06-11,NA,NA,NA,NA,NA,NA
2022-06-12,NA,NA,NA,NA,NA,NA
2022-06-13,NA,NA,NA,NA,NA,NA
2022-06-14,NA,NA,NA,NA,NA,NA
2022-06-15,NA,NA,NA,NA,NA,NA
2022-06-16,NA,NA,NA,NA,NA,NA
2022-06-17,NA,NA,NA,NA,NA,NA
2022-06-18,NA,NA,NA,NA,NA,NA
2022-06-19,NA,NA,NA,NA,NA,NA
2022-06-20,NA,NA,NA,NA,NA,NA
2022-06-21,NA,NA,NA,NA,NA,NA
2022-06-22,NA,NA,NA,NA,NA,NA
2022-06-23,NA,NA,NA,NA,NA,NA
2022-06-24,NA,NA,NA,NA,NA,NA
2022-06-25,NA,NA,NA,NA,NA,NA
2022-06-26,NA,NA,NA,NA,NA,NA
2022-06-27,NA,NA,NA,NA,NA,NA
2022-06-28,NA,NA,NA,NA,NA,NA
2022-06-29,NA,NA,NA,NA,NA,NA
2022-06-30,NA,NA,NA,NA,NA,NA
2022-07-01,NA,NA,NA,NA,NA,NA
2022-07-02,NA,NA,NA,NA,NA,NA
2022-07-03,NA,NA,NA,NA,NA,NA
2022-07-04,NA,NA,NA,NA,NA,NA
2022-07-05,NA,NA,NA,NA,NA,NA
