The data obtained from the Suwannee River Water Management District (SRWMD) may be provisional and subject to,,,,,,,,,,,,,,,,,,,
"revision. The SRWMD specifically disclaims any warranty, either expressed or implied, including but not limited to the",,,,,,,,,,,,,,,,,,,
the implied warranties of merchantability and fitness for a particular use. The entire risk as to quality and performance,,,,,,,,,,,,,,,,,,,
"is with the user. In no event will the SRWMD be liable for any direct, indirect, incidental, special, consequential,  or",,,,,,,,,,,,,,,,,,,
"other damages, including loss of profit, arising out of the use of this data even if the SRWMD has been advised",,,,,,,,,,,,,,,,,,,
"of the possibility of such damages. If you have any questions, please contact the SRWMD at (386)362-1001",,,,,,,,,,,,,,,,,,,
or 1-800-226-1066 (Florida toll-free).,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data for the following site is contained in this file,,,,,,,,,,,,,,,,,,,
02322350,Gilchrist Blue Springs,,,,,,,,,,,,,,,,,,
Latitude:,"29 49' 42""",Longitude:,"82 40' 58""",County:,Gilchrist,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Agency,Site ID,Data Type,Date,Water_Temp_C,Code,SpCond_us/cm,Code,pH,Code,DO_mg/L,Code,DO_PctSat,Code,NOx-T_mg/L,Code,Turbidity_FNU,Code,fDOM_QSU,Code
SRWMD,02322350,Mean,06/05/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/06/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/07/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
SRWMD,02322350,Mean,06/08/2019,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,0,Missing Data,,,0,Missing Data,0,Missing Data
