date,K600.daily,K600.daily.sd
2022-07-26,13.464900992570085,5.452894156571629
2022-07-27,23.732671569368026,1.4708686339183026
2022-07-28,19.085863364251562,3.5940427056844726
2022-07-29,25.046187703898486,4.636628222483311
2022-07-30,24.709980695074044,4.136925049339464
2022-07-31,23.201811257791544,9.08330401251824
2022-08-01,3.68975136808707,10.749142417481835
2022-08-02,56.08925363244675,11.844958952640297
2022-08-03,27.448446249112965,11.806538815298442
2022-08-04,-1.9530870420850093,15.80104722388558
2022-08-05,28.111109630171715,11.967969415701743
2022-08-06,19.555312928350716,27.86492548751604
2022-08-07,-5.7962879187597975,4.9037909584967805
2022-08-08,-16.305961420625604,14.647242282001724
2022-08-09,-4.461472943309076,3.3083252302146837
2022-08-10,28.029444509055484,46.17613732396842
2022-08-11,54.53777458208348,14.10954305416131
2022-08-12,-2.330657268886196,12.674630294527976
2022-08-13,-20.365731681169354,9.31291835740808
2022-08-14,-7.488548049636533,14.166911342167975
2022-08-15,110.6150603329475,15.620877640003943
2022-08-16,22.80135475304605,47.68473904991457
2022-08-17,29.32605947552134,25.643976256688703
2022-08-18,11.056412510186549,27.88229573877867
2022-08-19,-16.058419333466826,25.183260445564436
2022-08-20,-20.998584418862052,31.76508402259534
2022-08-21,3.77948286996804,36.30273036712801
2022-08-22,78.0993515145139,43.28772941396805
2022-08-23,-20.590833542173513,28.267893715060705
2022-08-24,24.435561060717458,37.394086178204944
2022-08-25,0.97371807132351,3.7306353069642757
2022-08-26,5.439630157649399,47.01353615992386
2022-08-27,-5.184741735450912,6.60119373653415
2022-08-28,17.82995085164845,13.91456655227222
2022-08-29,0.1341612006943955,2.2677112732022344
2022-08-30,3.182745278256704,1.9093828955899064
2022-08-31,12.62350617432956,2.4098905671455833
2022-09-01,5.2710358851119095,1.4752392284207811
2022-09-02,-3.4672322170275787,2.5058850634603345
2022-09-03,-1.088469224295095,1.6830111903800646
2022-09-04,-15.59160745896331,8.52876783806055
2022-09-05,-12.514323707627801,7.980794777308932
2022-09-06,-11.88023570695966,6.999331904218157
2022-09-07,-11.500708879180296,6.595129117864301
2022-09-08,-4.645236582759321,6.192427260415438
2022-09-09,-10.896889901801702,8.675328911444057
2022-09-10,-2.79552768507198,5.84142512187342
2022-09-11,-10.669892184865539,5.42507506968714
2022-09-12,-0.9918957593856186,5.903087509277354
2022-09-13,-8.475992059703845,6.922956580507635
2022-09-14,-8.289012528878764,6.93575903147978
2022-09-15,-9.783443700205328,6.851966734016191
2022-09-16,-4.79892482499704,6.135254561350616
2022-09-17,-12.557752798095507,7.171960504520656
2022-09-18,-7.346906998964073,5.911556208109084
2022-09-19,-3.4113535780051425,5.824361796093484
2022-09-20,-4.809348042612241,7.483016702300834
2022-09-21,-9.58892617441564,6.994564098105319
2022-09-22,-6.140882298661233,4.783830674145338
2022-09-23,-15.239716156195609,1.396576171758624
2022-09-24,-17.65920567017703,7.014617973892112
2022-09-25,-1.4991977273047912,5.184821513493887
2022-09-26,12.765477231637638,3.447555478497383
2022-09-27,20.476095298496425,3.1334610099562523
2022-09-28,28.393949389468787,5.007618883869745
2022-09-29,29.00639728453455,1.166551798339625
2022-09-30,22.76234984912744,9.178169948961834
2022-10-01,-0.41356683124898064,10.076223951117234
2022-10-02,-12.299122050396642,8.099393144639963
2022-10-03,-0.3444329297020914,1.7754737093487358
2022-10-04,-10.142373223009969,7.462877431034483
2022-10-05,2.6981332892464733,5.107243962676661
2022-10-06,-5.4951111794189185,5.544707774690534
2022-10-07,-6.873879792874625,8.588813849317596
2022-10-08,-11.102651876094907,17.54633235134965
2022-10-09,-6.750843103982931,8.89572380669458
2022-10-10,-13.014178174068363,12.405231587195805
2022-10-11,2.3389413415043094,40.57533868285905
2022-10-12,0.22784267680860304,14.915364736072963
2022-10-13,-11.467221468959858,10.208556113083691
2022-10-14,-9.44656120148898,7.791306850815982
2022-10-15,-9.245311878711524,8.25113794732857
2022-10-16,-10.0352878393324,11.58096297817726
2022-10-17,-16.37858184916983,17.72053273937436
2022-10-18,-6.515980860068814,5.071163628260815
2022-10-19,-6.986429885783248,6.2090055397966735
2022-10-20,-5.9520306775701615,4.864298458232134
2022-10-21,-7.640420944423558,6.505623422571153
2022-10-22,-4.381883497692436,4.557005249308955
2022-10-23,-6.349196535004305,6.112124750917882
2022-10-24,-9.318601330613111,9.319405401717866
2022-10-25,-20.881444452233286,25.205927680595817
2022-10-26,-4.783333860877969,5.480427882665798
2022-10-27,-11.718915137529589,8.505262516365642
2022-10-28,-13.124796216500652,13.86221688284959
2022-10-29,-18.302895712599764,13.343265305124483
2022-10-30,-11.749291221345521,22.556836984566665
2022-10-31,-17.499106363601882,11.791696087987631
2022-11-01,-7.407515049588024,5.9498175593905005
2022-11-02,-12.468240383049928,11.545847108802123
2022-11-03,-10.424516675059827,7.344991285210254
2022-11-04,-14.121688384383942,12.867178171384037
2022-11-05,-13.999414427161774,8.7917175882176
2022-11-06,NA,NA
2022-11-07,NA,NA
2022-11-08,-5.464721736076636,5.2784268528254845
2022-11-09,-6.536572527761898,15.78217604102956
2022-11-10,4.903103286747464,3.267129442200784
2022-11-11,-17.794686738339262,18.584568377652193
2022-11-12,-27.227700084846212,27.529758068722828
2022-11-13,-6.449193730709701,6.842894580870982
2022-11-14,6.012508810147511,47.82584271406979
2022-11-15,39.52723387205861,13.686567218021349
2022-11-16,19.866250697450525,17.050823960454686
2022-11-17,8.978645102865661,20.262520510418614
2022-11-18,17.025420086534204,19.644523604145874
2022-11-19,27.64372292774809,17.527723812763686
2022-11-20,-8.470282273937398,12.538016701523972
2022-11-21,49.00546791091174,12.2903142273099
2022-11-22,59.03753816038804,16.509968749088426
2022-11-23,49.49269707571709,11.66655743036081
2022-11-24,59.1142335090176,10.495725225027554
2022-11-25,3.856421312899474,11.45625488229127
2022-11-26,46.32191083540253,20.794888772418684
2022-11-27,-3.1595110451107837,7.435690135318327
2022-11-28,2.3040933955850633,10.826741458833085
2022-11-29,29.514237553312547,19.144232016699064
2022-11-30,-6.782247183632952,8.654496566207278
2022-12-01,10.513607829506967,17.120691390088606
2022-12-02,-12.42703983854102,8.600465840233968
2022-12-03,31.150068896692275,16.8120672971564
2022-12-04,64.17569105611852,6.457180839559651
2022-12-05,41.00328389351745,18.876606212971446
2022-12-06,29.68328495373343,19.444526041211482
2022-12-07,37.95534447548898,13.859103722297291
2022-12-08,46.179253160475696,14.868350464626669
2022-12-09,41.06000294931461,14.416576905801309
2022-12-10,55.87122456867559,11.931486772884725
2022-12-11,26.26357575444663,19.591088479874944
2022-12-12,25.587530050368883,17.759068242722158
2022-12-13,51.18159715172408,10.463708297398806
2022-12-14,24.591618254007177,9.536051593193186
2022-12-15,5.617157005981488,14.67034468739399
2022-12-16,15.010356879417156,16.370183912595653
2022-12-17,11.127747398859928,13.942511280390057
2022-12-18,11.389394226909685,15.833523962670595
2022-12-19,38.470179621586254,12.174496705114535
2022-12-20,8.525686812514865,6.598408177112211
2022-12-21,-20.513071557177074,24.575118985598152
2022-12-22,9.496731314762107,11.803948373050837
2022-12-23,-6.492322099546912,5.639027649474023
2022-12-24,NA,NA
2022-12-25,-12.177426953971356,8.833109049909195
2022-12-26,-12.638762878933274,12.423965711254933
2022-12-27,-7.466613859739155,7.721434289293749
2022-12-28,-8.313287662420423,9.097565444127783
2022-12-29,-10.496760579497975,8.778594125629642
2022-12-30,22.035662304952748,25.32388929252048
2022-12-31,-8.047904812498963,40.09223910373404
2023-01-01,5.610619959992435,23.22200919229808
2023-01-02,-8.22134832141477,19.375216334472192
2023-01-03,NA,NA
2023-01-04,-40.69616808325433,28.426526569326178
2023-01-05,-6.595822784325432,5.480960974436539
2023-01-06,-8.148501954658627,9.203788726486081
2023-01-07,-9.203811312713846,11.60518506092547
2023-01-08,-2.0931444190319968,26.380208906963215
2023-01-09,-9.127432762934129,9.22127000239478
2023-01-10,-3.3260952837756395,16.720665342322235
2023-01-11,-10.575318330172328,12.790458039056155
2023-01-12,-2.31569883386255,9.158124666837303
2023-01-13,-14.186602485799618,14.667555543324434
2023-01-14,-4.447495852185858,10.641732391109837
2023-01-15,-6.215670562955042,10.499492251769585
2023-01-16,20.419689204430473,29.719067112306977
2023-01-17,43.02341170440703,32.356472793802034
2023-01-18,23.545629887483816,29.120139569961612
2023-01-19,-12.873766267620397,15.780697698280568
2023-01-20,14.459491843861182,29.42664589894573
2023-01-21,7.108747223270647,5.629501078479757
2023-01-22,-10.284067428935899,13.943347792819553
2023-01-23,-1.4131039556800997,15.440935953344866
2023-01-24,90.61403492992278,9.775870442958343
2023-01-25,-9.135927547311384,3.756451783758123
2023-01-26,2.051422894358909,17.507594122358892
2023-01-27,11.185432424732905,19.053562518388848
2023-01-28,43.7672843438916,6.644984102674107
2023-01-29,31.84502459311646,4.431313732295008
2023-01-30,25.700526975693457,1.8215143005224914
2023-01-31,12.939778528871054,1.6159161289047952
2023-02-01,23.580047266032988,1.6538509205104894
2023-02-02,17.74768637984837,2.5627499872700903
2023-02-03,20.148858852177383,3.116593697533273
2023-02-04,NA,NA
2023-02-05,NA,NA
2023-02-06,NA,NA
2023-02-07,NA,NA
2023-02-08,NA,NA
2023-02-09,NA,NA
2023-02-10,2.5938795632474174,6.367620590271725
2023-02-11,6.609180314259588,1.451075787810406
2023-02-12,2.817405021563092,0.9003233149856971
2023-02-13,-3.4800206650213394,6.726144211125213
2023-02-14,-2.9044646857542147,9.704122021892472
2023-02-15,-5.730431137274375,8.089614188412375
2023-02-16,-8.729319556867193,11.310493816002232
2023-02-17,12.885150625945132,5.983513588641197
2023-02-18,-13.28648156130157,8.917305482017435
2023-02-19,-16.80993892771412,7.406650739922852
2023-02-20,-10.06889124175489,7.8710810761392835
2023-02-21,-8.735353878826787,5.210512766542707
2023-02-22,-12.475470541334829,9.223977323152871
2023-02-23,2.1785635002017267,3.8514402122125677
2023-02-24,-0.8169846831765732,6.29605590789814
2023-02-25,2.392918506407238,0.8045077355494832
2023-02-26,-1.6059994334567957,5.214801863311063
2023-02-27,2.9963525040766434,1.4534740423413028
2023-02-28,-3.8105101810826567,5.2623235583448205
2023-03-01,-4.244914714684068,2.090098026331867
2023-03-02,-0.5043043821213642,1.4987920366035692
2023-03-03,0.7577010636423591,1.4221560610187385
2023-03-04,2.292956280137942,1.5765006631168972
2023-03-05,7.103811910215518,1.5671627294834591
2023-03-06,8.098435484170093,1.2368982222924279
2023-03-07,8.571594156030846,1.3474240034721892
2023-03-08,8.82798303588133,1.6165485701089601
2023-03-09,8.934627232640958,1.5927318840640934
2023-03-10,6.572137893970486,3.171247513050249
2023-03-11,NA,NA
2023-03-12,NA,NA
2023-03-13,NA,NA
2023-03-14,NA,NA
2023-03-15,22.058955207245827,4.085470128439617
2023-03-16,23.480085887692816,4.287589084155298
2023-03-17,15.922963847892664,1.0292018955547009
2023-03-18,14.701015827197988,6.542856121198237
2023-03-19,12.983889183725207,4.231336050206569
2023-03-20,6.459816104436977,4.502184739418492
2023-03-21,10.519599269107,2.7146140607650593
2023-03-22,6.830611958177937,0.7223889228375568
2023-03-23,5.640405153497995,1.909332780269191
2023-03-24,7.181579829654877,1.602982154424229
2023-03-25,1.9182965675246124,2.211437133243245
2023-03-26,9.814427201788105,2.088272612561084
2023-03-27,9.47911528626152,2.234491817284986
2023-03-28,16.10551511558176,13.566970590874183
2023-03-29,19.41322599212988,2.895529611747444
2023-03-30,16.182547643905977,1.7853153355494789
2023-03-31,20.020411834618667,0.6480130484339096
2023-04-01,13.478183187203594,1.661330539223104
2023-04-02,17.739636276519136,2.019085280455936
2023-04-03,17.91509092862728,1.990361500786212
2023-04-04,20.70945880142495,2.7793522907541983
2023-04-05,20.731326898912204,2.486856007770014
2023-04-06,22.440149959082095,3.4738823944199186
2023-04-07,14.984389309079596,6.030617503868928
2023-04-08,1.7503186192082294,10.475149400477843
2023-04-09,7.77381677502915,6.675649543404903
2023-04-10,5.293922305444418,1.546126781231194
2023-04-11,NA,NA
2023-04-12,NA,NA
2023-04-13,NA,NA
2023-04-14,NA,NA
2023-04-15,NA,NA
2023-04-16,NA,NA
2023-04-17,NA,NA
2023-04-18,NA,NA
2023-04-19,NA,NA
2023-04-20,NA,NA
2023-04-21,NA,NA
2023-04-22,NA,NA
2023-04-23,-8.26012215839673,5.663347523729419
2023-04-24,-0.01633055147407476,3.819861082668641
2023-04-25,0.4578954272337885,12.85196335097995
2023-04-26,7.302172480142341,29.327849065840564
2023-04-27,4.129245281996186,1.9616865845394829
2023-04-28,-4.181960807324403,8.485372255645721
2023-04-29,-3.7839310771661303,10.002480297463217
2023-04-30,-7.145051157142204,1.6566871098384557
2023-05-01,-7.925291691570534,5.309263455535834
2023-05-02,-8.36468962618321,7.899736307084541
2023-05-03,-12.20162880439234,7.603548586652957
2023-05-04,-11.875051188924642,15.148903751757686
2023-05-05,50.84114112512198,16.653148532391974
2023-05-06,19.56695058624464,2.996411771818122
2023-05-07,20.419942108618923,3.521449481944099
2023-05-08,2.897176174154743,23.639399123390785
2023-05-09,17.972545016286098,20.00658078197973
2023-05-10,20.90292537124772,2.726553478769127
2023-05-11,12.416772107871617,1.1045372078829463
2023-05-12,-0.9457474623860536,6.592279066580083
2023-05-13,23.55918346817617,5.843455255139676
2023-05-14,20.56051065369344,2.1050903612048923
2023-05-15,17.597570270244795,3.1422805065391914
2023-05-16,11.320205459345065,0.6786631087596304
2023-05-17,10.256835828651981,0.9657662071606018
2023-05-18,44.071304410731486,12.684363783590012
2023-05-19,1.5782230658705187,19.569466964643954
2023-05-20,NA,NA
2023-05-21,NA,NA
2023-05-22,NA,NA
2023-05-23,NA,NA
2023-05-24,18.12673144981245,13.014593649611514
2023-05-25,33.78969150111511,20.26765022638399
2023-05-26,1.8193815909577629,18.51534146281884
2023-05-27,-6.098396824117765,13.884222133954061
2023-05-28,8.2112170226631,20.145780589554494
2023-05-29,22.859397819760854,20.917815873368617
2023-05-30,8.32006906690974,24.512334329248542
2023-05-31,-11.063535377780582,8.536136564012216
2023-06-01,-2.8571851528760046,19.8239684551661
2023-06-02,17.47898839398674,27.179596829879355
2023-06-03,12.95956471122831,19.03469313892283
2023-06-04,29.88480829786833,19.486183128581533
2023-06-05,-0.20207790560414177,19.100735963792708
2023-06-06,20.764268060461,16.92884062828197
2023-06-07,34.933157229085054,17.726384136708777
2023-06-08,17.755936490648622,10.084408499489367
2023-06-09,34.512476672298995,16.118028753754626
2023-06-10,7.920686340114506,21.910916885996908
2023-06-11,13.147462140444825,17.18975679588846
2023-06-12,19.452534947297472,29.61032069730951
2023-06-13,14.361631960842148,19.47311050169079
2023-06-14,-4.157123700820874,6.862632739560325
2023-06-15,-6.7358098988605875,1.906880223092726
2023-06-16,31.92186757254608,8.85497498976862
2023-06-17,25.174654924447236,12.136503734088743
2023-06-18,15.611318813340178,2.0307876140769374
2023-06-19,-2.659295719986572,7.421916028877761
2023-06-20,7.547541740181611,1.9165718718285654
2023-06-21,1.2602718329645741,3.061426463177526
2023-06-22,-6.888742402496292,6.082162684135465
2023-06-23,0.47206383219813075,0.7575888589876377
2023-06-24,-9.884009359831065,7.774583706873397
2023-06-25,-1.0576748979512327,0.4764793869204211
2023-06-26,0.3731217534610334,1.0771048417981512
2023-06-27,11.777052882480685,4.397517204593697
2023-06-28,-1.6305442508050307,3.607663943326883
2023-06-29,-4.966217490697446,9.63747794375517
2023-06-30,-5.86785097939037,9.529548097697901
2023-07-01,-8.792809899412322,3.3125615235700017
2023-07-02,-5.260879828933725,1.239524528030317
2023-07-03,-2.343898119006931,0.9173038780128643
2023-07-04,-1.374344740643679,1.301571181671581
2023-07-05,1.2594771173747643,0.9538612896363273
2023-07-06,5.6717550586158465,1.4041885044945213
2023-07-07,13.671422699776283,2.3348961193958613
2023-07-08,18.064975138252045,3.2056488840165245
2023-07-09,14.672901299861998,2.4180579151070267
2023-07-10,26.583472720572058,4.7171833762395945
2023-07-11,29.048884852627257,6.874203711006956
2023-07-12,28.19654026595508,6.105227701478817
2023-07-13,24.60929568786342,3.1719523390785884
2023-07-14,22.95500503174916,5.0218361642546245
2023-07-15,24.554499209725037,3.755124571046724
2023-07-16,39.77865093672337,5.434023210022796
2023-07-17,38.41433435920334,12.643803474032905
2023-07-18,38.3385282238337,8.142016743438363
2023-07-19,-19.823610708928584,8.659299860557143
2023-07-20,37.57003346853722,4.767794091328557
2023-07-21,-12.908742190720885,14.620008198488245
2023-07-22,32.75961500442145,10.381405801341534
2023-07-23,-0.9777594727108396,18.660792745903866
2023-07-24,24.651042303323997,8.71141240244755
2023-07-25,44.46181803599116,6.320120546346291
2023-07-26,38.906858866500464,6.870204752552785
2023-07-27,44.38889597122036,12.029857965349988
2023-07-28,35.633427630603045,20.30816251720451
2023-07-29,45.06584268873482,14.806034650080528
2023-07-30,-6.621618046328929,5.754735572926031
2023-07-31,34.75376209479166,6.431221289735951
2023-08-01,30.404474333459355,10.920705208899546
2023-08-02,35.243758803395345,5.00788637432576
2023-08-03,31.087893120999983,4.02886088654087
2023-08-04,43.899405588550714,11.872502958291767
2023-08-05,39.3736485865586,5.755262064008441
2023-08-06,-9.954779607788893,21.747313378033937
2023-08-07,33.95850826600397,4.871762201383946
2023-08-08,28.201702748617535,6.336880394912649
2023-08-09,34.03472137132664,5.946904707483004
2023-08-10,28.05743411113873,7.671415594604016
2023-08-11,33.933952958218505,11.283313991755474
2023-08-12,NA,NA
2023-08-13,7.234681701738813,9.53769352201655
2023-08-14,-30.367229840904344,21.749160632390524
2023-08-15,2.767540380583886,5.196222365131319
2023-08-16,NA,NA
2023-08-17,8.253326841119494,10.571319345569755
2023-08-18,64.50462465601197,17.48336210140335
2023-08-19,55.98938993931318,19.410087497006312
2023-08-20,6.12111272604692,31.556503485770396
2023-08-21,36.00165856011659,40.17910362113874
2023-08-22,28.91819604414249,33.26650707008133
2023-08-23,-4.527537069384211,51.69922851453781
2023-08-24,-10.253093330768433,23.257549741217172
2023-08-25,-48.04998206901003,30.482379492951775
2023-08-26,-5.364618252996125,28.37968642363315
2023-08-27,-15.937462700330197,61.359921180563596
2023-08-28,-35.16758537959153,14.008924684081213
2023-08-29,8.189413035164778,9.863407570154559
2023-08-30,41.84277685802704,19.439681916341126
2023-08-31,21.331530013675742,9.079059644644094
2023-09-01,18.091806611273242,2.387500707161541
2023-09-02,13.03739178467137,1.4042222315877493
2023-09-03,4.377389011592481,1.1912973168483367
2023-09-04,0.7989101000945248,1.2940603412416916
2023-09-05,-1.9581120270958299,1.8177556793285936
2023-09-06,-1.2413689266566064,1.7411930687954449
2023-09-07,0.5992381544744068,1.595146547918115
2023-09-08,2.0353679032612417,1.5546115852793227
2023-09-09,2.2822771630267735,1.8083832317853485
2023-09-10,3.6049092267946286,1.4458454758802044
2023-09-11,5.173651933119008,1.563797161652816
2023-09-12,14.763212491249506,1.8720468747020418
2023-09-13,12.839403411172555,1.7765301242482485
2023-09-14,15.36122697285473,1.8810056518068057
2023-09-15,17.165655915579997,3.0047961781008685
2023-09-16,4.918637159124611,3.0599032408410825
2023-09-17,17.351244885558813,2.7169405972727847
2023-09-18,21.24833702283254,3.815894642382561
2023-09-19,23.61194180368,3.316190392113993
2023-09-20,NA,NA
2023-09-21,NA,NA
2023-09-22,NA,NA
2023-09-23,NA,NA
2023-09-24,NA,NA
2023-09-25,NA,NA
2023-09-26,NA,NA
2023-09-27,NA,NA
2023-09-28,NA,NA
2023-09-29,NA,NA
2023-09-30,NA,NA
2023-10-01,NA,NA
2023-10-02,30.8344987101042,14.885514093849538
2023-10-03,49.358074230534456,13.697293482689606
2023-10-04,43.1108517809903,17.310721305044115
2023-10-05,47.54424479010472,14.997022895929078
2023-10-06,43.24485146487356,12.599052288205653
2023-10-07,38.34183609828648,16.84048000852054
2023-10-08,15.199310760698287,17.504306685610306
2023-10-09,36.08935882581481,14.217339853342352
2023-10-10,45.73094559454747,5.716137080893399
2023-10-11,-4.437147216262924,4.767906135477083
2023-10-12,44.81347582767747,18.988695264739864
2023-10-13,46.42994350075555,8.623763296187342
2023-10-14,23.271471911207566,12.264896168667486
2023-10-15,15.985274683341824,13.221687438130282
2023-10-16,28.418354431190888,13.821870150543653
2023-10-17,9.9282251010173,13.632264630540949
2023-10-18,8.707200015608613,14.301796737412133
2023-10-19,24.65825240457573,13.985334387358552
2023-10-20,15.297991451252242,12.845376363886304
2023-10-21,20.590836392613223,14.567872697903738
2023-10-22,22.137693494507396,16.878873400364913
2023-10-23,3.407637049598097,13.39392197321216
2023-10-24,-11.332489788929502,7.5421770560699795
2023-10-25,36.37700602893994,18.614317535501076
2023-10-26,6.84834604328439,17.171974264627355
2023-10-27,-6.027703094255029,11.176662835707077
2023-10-28,-6.8633191308576675,11.385055405073485
2023-10-29,-6.898897727529732,13.087269502123732
2023-10-30,-7.2422233857691936,9.486288031202287
2023-10-31,-8.84387770758204,7.540778509513244
2023-11-01,-6.369942792493557,5.397994868817311
2023-11-02,-10.770374253566057,14.235934797253996
2023-11-03,-11.034723046488844,9.451889037069442
2023-11-04,-7.521762880758352,5.712332893514222
2023-11-05,-6.752966921399687,6.07167004970171
2023-11-06,-8.207916681118437,6.869445098438571
2023-11-07,-6.696596044999422,6.181292687968368
2023-11-08,-6.065926480386049,9.600850745906262
2023-11-09,-10.228565172403055,9.329315699050511
2023-11-10,-13.589336853216897,14.187274972352936
2023-11-11,-12.499665469510836,9.418699439199438
2023-11-12,-13.390873548290537,12.46826584761434
2023-11-13,8.910900305315876,34.84506148922706
2023-11-14,-6.650765346518618,3.2095576206157044
2023-11-15,-9.593086739822274,17.937927088619865
2023-11-16,NA,NA
2023-11-17,NA,NA
2023-11-18,NA,NA
2023-11-19,NA,NA
2023-11-20,NA,NA
2023-11-21,NA,NA
2023-11-22,NA,NA
2023-11-23,NA,NA
2023-11-24,NA,NA
2023-11-25,NA,NA
2023-11-26,NA,NA
2023-11-27,NA,NA
2023-11-28,NA,NA
2023-11-29,NA,NA
2023-11-30,65.53180728372976,10.045059791186356
2023-12-01,73.75583326459568,10.39310116876381
2023-12-02,2.000447132569549,3.957705078139499
2023-12-03,53.32253400269308,3.759950364874985
2023-12-04,34.37865736320881,6.309772551540862
2023-12-05,23.391818631619216,3.324740162541204
2023-12-06,21.954676621485657,2.6070802901649914
2023-12-07,19.10625077797649,2.297185660430219
2023-12-08,25.228632457965922,3.703379263691257
2023-12-09,21.735546407056763,3.2680586912453995
2023-12-10,-5.185250400118206,6.0290992224705855
2023-12-11,23.601368499045652,2.615325811879071
2023-12-12,15.518381540973726,1.5832455038103277
2023-12-13,12.94325704943909,2.065963134010863
2023-12-14,14.34373818330895,2.310393594599255
2023-12-15,11.121949409010298,1.510387130277451
2023-12-16,-3.7166124175496407,1.9194963884960896
2023-12-17,7.04663751744348,1.3601053611729312
2023-12-18,-7.819547289642501,7.668512298453359
2023-12-19,-8.280576068769628,5.963133895318925
2023-12-20,-3.485667823449304,5.9309464212145055
2023-12-21,-16.139242204897577,9.019211210314305
2023-12-22,NA,NA
2023-12-23,-8.276992330571282,10.239488570784161
2023-12-24,-24.88136597222373,10.609306903709763
2023-12-25,-3.1412986585708285,4.298195302764308
2023-12-26,-3.6652153384578563,3.531952109702918
2023-12-27,-0.16591497134839525,1.580578704435586
2023-12-28,-0,0
2023-12-29,-9.601425020436555,0.49928953689928457
2023-12-30,-9.75706622570257,7.070484998496784
2023-12-31,0.3193753690619718,3.6172960004003456
2024-01-01,-1.5225304756565485,3.872669908207999
2024-01-02,-7.047803096572759,4.415831368500619
2024-01-03,-7.496124560540837,6.7684261968043185
2024-01-04,-4.866169373734741,5.622274138665251
2024-01-05,-3.973557983140075,5.906237925294254
2024-01-06,-4.6130710579668,2.6552638177201904
2024-01-07,-4.668050482877905,2.6505768734603157
2024-01-08,-6.078403232141446,3.4793537487529003
2024-01-09,-4.894774610012931,3.6951644101601713
