date,K600.daily,K600.daily.sd
2022-03-29,NA,NA
2022-03-30,NA,NA
2022-03-31,NA,NA
2022-04-01,NA,NA
2022-04-02,NA,NA
2022-04-03,NA,NA
2022-04-04,NA,NA
2022-04-05,NA,NA
2022-04-06,NA,NA
2022-04-07,NA,NA
2022-04-08,NA,NA
2022-04-09,NA,NA
2022-04-10,NA,NA
2022-04-11,NA,NA
2022-04-12,NA,NA
2022-04-13,NA,NA
2022-04-14,NA,NA
2022-04-15,NA,NA
2022-04-16,NA,NA
2022-04-17,NA,NA
2022-04-18,NA,NA
2022-04-19,NA,NA
2022-04-20,NA,NA
2022-04-21,NA,NA
2022-04-22,NA,NA
2022-04-23,NA,NA
2022-04-24,NA,NA
2022-04-25,NA,NA
2022-04-26,NA,NA
2022-04-27,NA,NA
2022-04-28,NA,NA
2022-04-29,NA,NA
2022-04-30,NA,NA
2022-05-01,NA,NA
2022-05-02,NA,NA
2022-05-03,NA,NA
2022-05-04,NA,NA
2022-05-05,NA,NA
2022-05-06,NA,NA
2022-05-07,NA,NA
2022-05-08,NA,NA
2022-05-09,NA,NA
2022-05-10,NA,NA
2022-05-11,NA,NA
2022-05-12,-11.570231657953508,8.906851405932963
2022-05-13,-20.100120614611267,15.144337277935174
2022-05-14,-11.21265734490087,12.114208428702877
2022-05-15,-16.38471921832871,12.691068260670383
2022-05-16,-9.295632973280647,11.823884160057393
2022-05-17,-13.117517723503376,8.180863053179339
2022-05-18,-14.123708368168792,9.891068704462786
2022-05-19,-12.21136544623509,7.698451131452997
2022-05-20,-16.104716912557475,11.174127912305474
2022-05-21,-6.892206606533269,7.837889022422665
2022-05-22,-16.978469539319413,15.963612034278887
2022-05-23,NA,NA
2022-05-24,NA,NA
2022-05-25,NA,NA
2022-05-26,NA,NA
2022-05-27,NA,NA
2022-05-28,NA,NA
2022-05-29,NA,NA
2022-05-30,NA,NA
2022-05-31,NA,NA
2022-06-01,NA,NA
2022-06-02,NA,NA
2022-06-03,NA,NA
2022-06-04,NA,NA
2022-06-05,NA,NA
2022-06-06,NA,NA
2022-06-07,NA,NA
2022-06-08,NA,NA
2022-06-09,NA,NA
2022-06-10,NA,NA
2022-06-11,NA,NA
2022-06-12,NA,NA
2022-06-13,NA,NA
2022-06-14,NA,NA
2022-06-15,NA,NA
2022-06-16,NA,NA
2022-06-17,NA,NA
2022-06-18,NA,NA
2022-06-19,NA,NA
2022-06-20,NA,NA
2022-06-21,NA,NA
2022-06-22,NA,NA
2022-06-23,NA,NA
2022-06-24,NA,NA
2022-06-25,NA,NA
2022-06-26,NA,NA
2022-06-27,NA,NA
2022-06-28,NA,NA
2022-06-29,NA,NA
2022-06-30,-24.989348961901616,12.566450826544559
2022-07-01,-0.9509048905455404,5.053342841509115
2022-07-02,-9.087376189094051,6.802845854897766
2022-07-03,-8.59795310155828,5.9216202651357275
2022-07-04,-24.14664121434879,8.895159791989
2022-07-05,-33.5210092271701,21.906994249606218
2022-07-06,-14.723935667702344,7.871035756544552
2022-07-07,-31.769066666137366,20.408288964765163
2022-07-08,-24.698388165110167,13.16088664330196
2022-07-09,-35.59145229883707,13.83463500474772
2022-07-10,-36.750721523681015,30.53999656291111
2022-07-11,1.188575198710503,9.405236066162967
2022-07-12,-9.793973361698598,5.934994799686022
2022-07-13,62.04818894528125,17.084007703408744
2022-07-14,54.00956368008731,27.026184792268378
2022-07-15,16.604223180874712,58.18507068568315
2022-07-16,42.79760731982502,6.774237952201082
2022-07-17,46.645496020250505,12.353478722667793
2022-07-18,NA,NA
2022-07-19,25.174287776960824,1.525130861357348
2022-07-20,20.13452090842375,2.766600329337738
2022-07-21,16.49115301100651,3.551730498216566
2022-07-22,13.333945166907833,3.6940196700213215
2022-07-23,16.883110908534594,2.2326452294450467
2022-07-24,24.42819725672024,3.9014520683527985
2022-07-25,15.238001071699104,3.109550149261867
