Date,DO,Temp
2023-03-01 09:46,4.38,76.21
2023-03-01 09:47,4.35,75.49
2023-03-01 09:48,4.35,74.95
2023-03-01 09:49,4.37,74.55
2023-03-01 09:50,4.42,74.23
2023-03-01 09:51,4.45,73.98
2023-03-01 09:52,4.47,73.8
2023-03-01 09:53,4.48,73.62
2023-03-01 09:54,4.48,73.51
2023-03-01 09:55,4.51,73.4
2023-03-01 09:56,4.55,73.33
2023-03-01 09:57,4.54,73.26
2023-03-01 09:58,4.55,73.18
2023-03-01 09:59,4.57,73.15
2023-03-01 10:00,4.59,73.11
2023-03-01 10:01,4.54,73.08
2023-03-01 10:02,4.51,73.04
2023-03-01 10:03,4.52,73.04
2023-03-01 10:04,4.52,73
2023-03-01 10:05,4.54,73
2023-03-01 10:06,4.55,73
2023-03-01 10:07,4.56,72.97
2023-03-01 10:08,4.54,72.97
2023-03-01 10:09,4.56,72.97
2023-03-01 10:10,4.55,72.97
2023-03-01 10:11,4.57,72.97
2023-03-01 10:12,4.6,72.97
2023-03-01 10:13,4.62,72.97
2023-03-01 10:14,4.57,72.97
2023-03-01 10:15,4.55,72.97
2023-03-01 10:16,4.51,72.97
2023-03-01 10:17,4.52,72.93
2023-03-01 10:18,4.56,72.93
2023-03-01 10:19,4.54,72.93
2023-03-01 10:20,4.52,72.93
2023-03-01 10:21,4.54,72.93
2023-03-01 10:22,4.55,72.93
2023-03-01 10:23,4.54,72.93
2023-03-01 10:24,4.54,72.93
2023-03-01 10:25,4.52,72.93
2023-03-01 10:26,4.56,72.93
2023-03-01 10:27,4.55,72.93
2023-03-01 10:28,4.54,72.93
2023-03-01 10:29,4.55,72.97
2023-03-01 10:30,4.57,72.97
2023-03-01 10:31,4.61,72.97
2023-03-01 10:32,4.61,72.97
2023-03-01 10:33,4.58,72.97
2023-03-01 10:34,4.55,72.97
2023-03-01 10:35,4.54,72.97
2023-03-01 10:36,4.56,72.93
2023-03-01 10:37,4.56,72.93
2023-03-01 10:38,4.6,72.93
2023-03-01 10:39,4.61,72.93
2023-03-01 10:40,4.55,72.93
2023-03-01 10:41,4.57,72.93
2023-03-01 10:42,4.56,72.93
2023-03-01 10:43,4.55,72.93
2023-03-01 10:44,4.52,72.93
2023-03-01 10:45,4.52,72.93
2023-03-01 10:46,4.57,72.93
2023-03-01 10:47,4.57,72.93
2023-03-01 10:48,4.58,72.93
2023-03-01 10:49,4.59,72.93
